file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1178403,2,85,3,58.0,1,0
1178404,1,42,8,20.125,0,0
1178404,2,41,6,27.0,0,0
1178405,1,56,8,19.375,1,0
1178405,2,72,10,11.6,1,0
1178406,1,95,8,21.375,1,0
1178406,2,70,6,28.666666666666668,1,0
1178407,1,85,7,26.0,1,0
1178407,2,59,8,21.25,1,0
1178408,1,79,6,22.0,1,0
1178408,2,66,5,27.4,1,0
1178409,1,57,6,28.0,2,0
1178409,2,49,10,12.8,0,0
1178410,1,90,4,53.25,2,0
1178410,2,118,6,33.833333333333336,1,1
1178411,1,97,6,26.833333333333332,1,0
1178411,2,70,6,27.0,1,0
1178412,1,45,8,20.375,0,0
1178412,2,92,6,27.666666666666668,1,0
1178413,1,51,9,17.666666666666668,1,0
1178413,2,131,2,80.5,1,1
1178414,1,47,8,20.125,0,0
1178414,2,55,8,20.0,1,0
1178415,1,130,6,31.833333333333332,1,1
1178415,2,84,5,38.6,2,0
1178416,1,115,4,43.75,1,1
1178416,2,80,5,35.2,2,0
1178417,1,121,5,40.4,1,1
1178417,2,68,8,23.125,2,0
1178418,1,44,7,25.0,0,0
1178418,2,53,8,22.125,1,0
1178419,1,75,5,31.0,1,0
1178419,2,33,10,10.9,0,0
1178420,1,75,9,17.77777777777778,1,0
1178420,2,78,4,40.25,2,0
1178421,1,68,6,31.166666666666668,1,0
1178421,2,63,8,21.375,1,0
1178422,1,96,3,77.33333333333333,3,0
1178422,2,64,8,24.75,2,0
1178423,1,82,7,30.285714285714285,2,0
1178423,2,60,9,18.555555555555557,2,0
1178424,1,35,8,7.75,0,0
1178424,2,41,1,41.0,0,0
1178425,1,83,5,35.8,1,0
1178425,2,48,10,9.9,0,0
1178426,1,54,6,27.0,1,0
1178426,2,49,7,23.142857142857142,0,0
1178427,1,69,7,26.142857142857142,1,0
1178427,2,62,4,46.25,2,0
1178428,1,30,9,12.777777777777779,0,0
1178428,2,33,6,20.166666666666668,0,0
1178429,1,46,8,21.875,0,0
1178429,2,144,7,25.428571428571427,1,1
1178430,1,120,6,28.333333333333332,1,1
1178430,2,108,5,34.6,1,1
1178431,1,49,7,19.0,0,0
1178431,2,88,2,67.0,1,0
1181764,1,66,5,26.2,1,0
1181764,2,80,5,26.4,1,0
1181766,1,36,9,18.0,0,0
1181766,2,66,9,18.333333333333332,1,0
1181767,1,22,10,14.7,0,0
1181767,2,81,5,30.2,1,0
1181768,1,45,9,16.555555555555557,0,0
1181768,2,51,7,21.142857142857142,1,0
1216492,1,46,10,16.2,0,0
1216492,2,115,6,27.666666666666668,1,1
1216493,1,73,9,17.444444444444443,1,0
1216493,2,56,8,19.625,1,0
1216494,1,27,8,10.5,0,0
1216494,2,46,3,28.333333333333332,0,0
1216495,1,42,9,16.555555555555557,0,0
1216495,2,151,1,151.0,1,1
1216496,1,121,8,27.0,1,1
1216496,2,65,7,28.571428571428573,2,0
1216497,1,115,6,32.333333333333336,1,1
1216497,2,63,10,13.5,1,0
1216498,1,37,8,15.75,0,0
1216498,2,56,10,11.4,1,0
1216499,1,71,7,23.428571428571427,1,0
1216499,2,51,6,27.666666666666668,1,0
1216500,1,40,9,20.444444444444443,0,0
1216500,2,41,10,13.8,0,0
1216501,1,37,10,16.7,0,0
1216501,2,69,6,26.166666666666668,1,0
1216502,1,43,8,15.0,0,0
1216502,2,50,6,20.166666666666668,1,0
1216503,1,67,5,38.2,2,0
1216503,2,41,9,15.88888888888889,0,0
1216504,1,46,7,24.857142857142858,0,0
1216504,2,31,10,13.7,0,0
1216505,1,57,8,19.0,1,0
1216505,2,88,5,30.8,1,0
1216506,1,48,7,21.857142857142858,0,0
1216506,2,82,2,77.0,2,0
1216507,1,73,4,39.5,1,0
1216507,2,85,6,27.166666666666668,1,0
1216508,1,90,6,32.5,1,0
1216508,2,46,9,16.22222222222222,0,0
1216509,1,87,5,35.8,2,0
1216509,2,68,6,30.833333333333332,1,0
1216510,1,78,4,51.5,3,0
1216510,2,49,10,10.9,0,0
1216511,1,76,5,38.6,1,0
1216511,2,56,10,13.6,1,0
1216512,1,58,5,32.6,1,0
1216512,2,58,7,23.285714285714285,1,0
1216513,1,61,5,35.6,2,0
1216513,2,181,1,181.0,1,1
1216514,1,40,7,22.0,0,0
1216514,2,99,3,52.666666666666664,1,0
1216515,1,73,5,45.6,3,0
1216515,2,78,9,23.333333333333332,2,0
1216516,1,77,6,27.333333333333332,1,0
