season,batter,bat_balls,bat_runs,strike_rate,bat_score
2009,AM Nayar,155,193,124.51612903225806,83.01075268817203
2009,AM Rahane,128,144,112.5,75.0
2009,AS Raut,65,78,120.0,80.0
2009,B Lee,35,28,80.0,53.333333333333336
2009,BB McCullum,247,285,115.38461538461537,76.92307692307692
2009,BJ Hodge,317,365,115.14195583596214,76.76130389064141
2009,CH Gayle,153,171,111.76470588235294,74.50980392156863
2009,DA Warner,137,163,118.97810218978103,79.31873479318735
2009,DB Ravi Teja,71,65,91.54929577464789,61.03286384976526
2009,DJ Bravo,211,218,103.3175355450237,68.8783570300158
2009,DJ Hussey,61,98,160.65573770491804,100.0
2009,DL Vettori,32,34,106.25,70.83333333333334
2009,DPMD Jayawardene,172,219,127.32558139534885,84.88372093023257
2009,DR Smith,134,215,160.44776119402985,100.0
2009,G Gambhir,283,286,101.0600706713781,67.37338044758539
2009,GC Smith,222,212,95.4954954954955,63.66366366366367
2009,GJ Bailey,40,45,112.5,75.0
2009,HH Gibbs,344,371,107.84883720930232,71.89922480620154
2009,Harbhajan Singh,57,84,147.36842105263156,98.2456140350877
2009,IK Pathan,164,196,119.51219512195121,79.67479674796746
2009,J Botha,42,47,111.90476190476191,74.60317460317461
2009,JA Morkel,73,97,132.87671232876713,88.58447488584476
2009,JD Ryder,49,56,114.28571428571428,76.19047619047619
2009,JDP Oram,94,88,93.61702127659575,62.4113475177305
2009,JH Kallis,349,361,103.43839541547277,68.95893027698185
2009,JP Duminy,334,372,111.37724550898203,74.25149700598801
2009,K Goel,140,124,88.57142857142857,59.04761904761905
2009,KC Sangakkara,332,332,100.0,66.66666666666666
2009,KD Karthik,224,288,128.57142857142858,85.71428571428572
2009,KP Pietersen,89,93,104.49438202247192,69.66292134831463
2009,LA Carseldine,71,81,114.08450704225352,76.05633802816901
2009,LA Pomersbach,49,41,83.6734693877551,55.782312925170075
2009,LR Shukla,86,83,96.51162790697676,64.34108527131784
2009,LRPL Taylor,211,280,132.70142180094786,88.46761453396523
2009,M Kartik,20,21,105.0,70.0
2009,M Manhas,65,75,115.38461538461537,76.92307692307692
2009,M Rawat,20,16,80.0,53.333333333333336
2009,M Vijay,69,60,86.95652173913044,57.971014492753625
2009,MC Henriques,40,38,95.0,63.33333333333333
2009,MF Maharoof,21,21,100.0,66.66666666666666
2009,MK Pandey,120,168,140.0,93.33333333333333
2009,ML Hayden,409,572,139.85330073349633,93.23553382233088
2009,MM Patel,26,33,126.92307692307692,84.61538461538461
2009,MN van Wyk,135,167,123.7037037037037,82.46913580246913
2009,MS Dhoni,270,332,122.96296296296296,81.9753086419753
2009,MV Boucher,121,150,123.96694214876034,82.64462809917356
2009,NK Patel,41,18,43.90243902439025,29.268292682926834
2009,NV Ojha,145,168,115.86206896551725,77.24137931034484
2009,P Kumar,46,65,141.30434782608697,94.20289855072464
2009,PA Patel,131,142,108.3969465648855,72.264631043257
2009,PP Chawla,39,31,79.48717948717949,52.991452991452995
2009,PR Shah,54,53,98.14814814814815,65.4320987654321
2009,R Dravid,239,271,113.38912133891212,75.59274755927474
2009,R Vinay Kumar,44,47,106.81818181818181,71.2121212121212
2009,RA Jadeja,276,295,106.8840579710145,71.256038647343
2009,RE van der Merwe,101,122,120.79207920792079,80.52805280528052
2009,RG Sharma,323,362,112.07430340557276,74.71620227038184
2009,RJ Quiney,105,103,98.09523809523809,65.39682539682539
2009,RR Powar,22,23,104.54545454545455,69.6969696969697
2009,RS Bopara,124,138,111.29032258064515,74.19354838709677
2009,RV Uthappa,177,175,98.87005649717514,65.91337099811676
2009,S Badrinath,166,177,106.62650602409639,71.08433734939759
2009,S Dhawan,46,40,86.95652173913044,57.971014492753625
2009,S Sohal,102,115,112.74509803921569,75.16339869281046
2009,SA Asnodkar,98,98,100.0,66.66666666666666
2009,SC Ganguly,213,189,88.73239436619718,59.154929577464785
2009,SK Raina,318,434,136.47798742138363,90.98532494758909
2009,SK Warne,118,108,91.52542372881356,61.016949152542374
2009,SM Katich,119,145,121.84873949579831,81.23249299719888
2009,SP Goswami,64,53,82.8125,55.208333333333336
2009,SR Tendulkar,315,364,115.55555555555554,77.03703703703702
2009,ST Jayasuriya,205,221,107.8048780487805,71.869918699187
2009,TL Suman,193,237,122.79792746113989,81.86528497409327
2009,TM Dilshan,357,418,117.08683473389357,78.05788982259571
2009,V Kohli,225,246,109.33333333333333,72.88888888888889
2009,V Sehwag,146,198,135.6164383561644,90.41095890410959
2009,VVS Laxman,33,19,57.57575757575758,38.38383838383839
2009,WA Mota,48,30,62.5,41.66666666666667
2009,WP Saha,41,72,175.609756097561,100.0
2009,WPUJC Vaas,21,30,142.85714285714286,95.23809523809524
2009,Y Nagar,22,20,90.9090909090909,60.60606060606061
2009,Y Venugopal Rao,118,124,105.08474576271188,70.05649717514125
2009,YK Pathan,188,243,129.25531914893617,86.17021276595744
2009,YV Takawale,22,18,81.81818181818183,54.545454545454554
2009,Yashpal Singh,67,47,70.1492537313433,46.76616915422886
2009,Yuvraj Singh,317,340,107.25552050473186,71.5036803364879
2010,A Mishra,54,39,72.22222222222221,48.148148148148145
2010,A Nehra,20,23,114.99999999999999,76.66666666666666
2010,A Symonds,356,429,120.50561797752808,80.33707865168537
2010,AA Jhunjhunwala,172,183,106.3953488372093,70.93023255813952
2010,AB Agarkar,30,40,133.33333333333331,88.88888888888887
2010,AB Barath,43,42,97.67441860465115,65.11627906976743
2010,AB McDonald,54,65,120.37037037037037,80.24691358024691
2010,AB de Villiers,123,111,90.2439024390244,60.16260162601627
2010,AC Gilchrist,200,289,144.5,96.33333333333334
2010,AC Voges,143,181,126.57342657342659,84.38228438228438
2010,AD Mathews,197,233,118.27411167512692,78.84940778341794
2010,AJ Finch,21,21,100.0,66.66666666666666
2010,AM Nayar,51,58,113.72549019607843,75.81699346405229
2010,AP Dole,23,34,147.82608695652172,98.55072463768114
2010,AP Tare,41,50,121.95121951219512,81.30081300813008
2010,AS Raut,48,56,116.66666666666667,77.77777777777779
2010,AT Rayudu,258,356,137.984496124031,91.98966408268734
2010,Anirudh Singh,69,63,91.30434782608695,60.8695652173913
2010,B Sumanth,38,35,92.10526315789474,61.40350877192983
2010,BB McCullum,117,114,97.43589743589743,64.95726495726495
2010,BJ Hodge,95,99,104.21052631578947,69.47368421052632
2010,C Madan,21,15,71.42857142857143,47.61904761904762
2010,CA Pujara,119,122,102.52100840336134,68.34733893557421
2010,CH Gayle,197,292,148.2233502538071,98.8155668358714
2010,CL White,33,48,145.45454545454547,96.96969696969698
2010,DA Warner,195,282,144.6153846153846,96.41025641025641
2010,DJ Bravo,53,61,115.09433962264151,76.72955974842768
2010,DJ Hussey,89,94,105.61797752808988,70.41198501872658
2010,DL Vettori,28,33,117.85714285714286,78.57142857142857
2010,DPMD Jayawardene,310,439,141.61290322580643,94.40860215053762
2010,DR Martyn,26,19,73.07692307692307,48.71794871794871
2010,DR Smith,25,22,88.0,58.666666666666664
2010,EJG Morgan,31,35,112.90322580645163,75.26881720430109
2010,FY Fazal,160,164,102.49999999999999,68.33333333333333
2010,G Gambhir,223,277,124.2152466367713,82.8101644245142
2010,GC Smith,40,44,110.00000000000001,73.33333333333334
2010,GJ Bailey,27,18,66.66666666666666,44.444444444444436
2010,HH Gibbs,243,267,109.87654320987654,73.25102880658436
2010,Harbhajan Singh,64,105,164.0625,100.0
2010,IK Pathan,188,276,146.80851063829786,97.87234042553192
2010,JA Morkel,134,198,147.76119402985074,98.50746268656717
2010,JH Kallis,517,572,110.63829787234043,73.75886524822695
2010,JM Kemp,25,26,104.0,69.33333333333334
2010,JP Duminy,134,157,117.16417910447761,78.1094527363184
2010,K Goel,20,18,90.0,60.0
2010,KA Pollard,152,273,179.60526315789474,100.0
2010,KC Sangakkara,260,357,137.30769230769232,91.53846153846155
2010,KD Karthik,242,278,114.87603305785123,76.5840220385675
2010,KM Jadhav,60,76,126.66666666666666,84.44444444444443
2010,KP Pietersen,159,236,148.42767295597483,98.95178197064989
2010,L Balaji,20,18,90.0,60.0
2010,LR Shukla,27,36,133.33333333333331,88.88888888888887
2010,LRPL Taylor,77,88,114.28571428571428,76.19047619047619
2010,M Kaif,31,28,90.32258064516128,60.21505376344085
2010,M Kartik,22,22,100.0,66.66666666666666
2010,M Manhas,151,157,103.97350993377484,69.31567328918322
2010,M Vijay,305,458,150.1639344262295,100.0
2010,MD Mishra,149,166,111.40939597315436,74.27293064876957
2010,MEK Hussey,44,37,84.0909090909091,56.06060606060607
2010,MF Maharoof,24,31,129.16666666666669,86.11111111111113
2010,MJ Lumb,196,278,141.83673469387753,94.55782312925169
2010,MK Pandey,233,249,106.86695278969958,71.24463519313305
2010,MK Tiwary,192,237,123.4375,82.29166666666666
2010,ML Hayden,294,346,117.68707482993197,78.45804988662131
2010,MR Marsh,31,28,90.32258064516128,60.21505376344085
2010,MS Bisla,189,218,115.34391534391534,76.89594356261023
2010,MS Dhoni,215,287,133.48837209302326,88.9922480620155
2010,NV Ojha,294,377,128.2312925170068,85.4875283446712
2010,OA Shah,96,115,119.79166666666667,79.86111111111111
2010,P Dogra,108,107,99.07407407407408,66.0493827160494
2010,PA Patel,83,72,86.74698795180723,57.831325301204814
2010,PD Collingwood,159,203,127.67295597484276,85.1153039832285
2010,PP Chawla,63,62,98.4126984126984,65.60846560846561
2010,R Ashwin,40,30,75.0,50.0
2010,R Dravid,203,256,126.10837438423646,84.07224958949097
2010,R McLaren,71,66,92.95774647887323,61.97183098591549
2010,R Sathish,98,112,114.28571428571428,76.19047619047619
2010,R Sharma,26,29,111.53846153846155,74.35897435897436
2010,R Vinay Kumar,35,27,77.14285714285715,51.42857142857144
2010,RG Sharma,310,404,130.32258064516128,86.88172043010752
2010,RJ Harris,39,45,115.38461538461537,76.92307692307692
2010,RP Singh,20,9,45.0,30.0
2010,RS Bopara,223,248,111.21076233183858,74.14050822122572
2010,RV Uthappa,224,374,166.96428571428572,100.0
2010,S Badrinath,310,356,114.83870967741936,76.55913978494624
2010,S Dhawan,180,191,106.11111111111111,70.74074074074073
2010,S Sreesanth,22,27,122.72727272727273,81.81818181818183
2010,S Sriram,31,27,87.09677419354838,58.06451612903225
2010,SC Ganguly,440,493,112.04545454545453,74.69696969696969
2010,SE Marsh,117,147,125.64102564102564,83.76068376068375
2010,SK Raina,384,520,135.41666666666669,90.27777777777779
2010,SK Warne,21,10,47.61904761904761,31.746031746031743
2010,SR Tendulkar,489,618,126.38036809815951,84.25357873210633
2010,SR Watson,117,185,158.1196581196581,100.0
2010,SS Tiwary,319,419,131.34796238244516,87.56530825496344
2010,ST Jayasuriya,35,33,94.28571428571428,62.857142857142854
2010,TL Suman,264,307,116.28787878787878,77.52525252525253
2010,TM Dilshan,55,44,80.0,53.333333333333336
2010,V Kohli,216,307,142.12962962962962,94.75308641975307
2010,V Sehwag,227,356,156.8281938325991,100.0
2010,VVS Laxman,62,64,103.2258064516129,68.81720430107526
2010,WP Saha,53,67,126.41509433962264,84.27672955974843
2010,WPUJC Vaas,34,30,88.23529411764706,58.82352941176471
2010,Y Venugopal Rao,44,34,77.27272727272727,51.515151515151516
2010,YK Pathan,210,333,158.57142857142856,100.0
2010,Yuvraj Singh,204,255,125.0,83.33333333333334
2011,A Mishra,52,68,130.76923076923077,87.17948717948718
2011,A Mithun,20,27,135.0,90.0
2011,A Symonds,143,135,94.4055944055944,62.93706293706294
2011,AB de Villiers,248,312,125.80645161290323,83.87096774193549
2011,AC Blizzard,88,120,136.36363636363635,90.90909090909089
2011,AC Gilchrist,309,383,123.94822006472492,82.63214670981661
2011,AG Paunikar,60,49,81.66666666666667,54.44444444444445
2011,AJ Finch,51,47,92.15686274509804,61.43790849673203
2011,AL Menaria,158,180,113.9240506329114,75.9493670886076
2011,AM Nayar,67,61,91.04477611940298,60.69651741293532
2011,AM Rahane,99,120,121.21212121212122,80.8080808080808
2011,AS Raut,59,60,101.69491525423729,67.79661016949152
2011,AT Rayudu,355,395,111.26760563380283,74.17840375586854
2011,B Chipli,172,207,120.34883720930232,80.23255813953489
2011,BB McCullum,292,357,122.26027397260273,81.50684931506848
2011,BJ Hodge,245,285,116.3265306122449,77.55102040816327
2011,CA Ingram,26,21,80.76923076923077,53.84615384615385
2011,CA Pujara,32,34,106.25,70.83333333333334
2011,CH Gayle,342,608,177.77777777777777,100.0
2011,CJ Ferguson,56,48,85.71428571428571,57.14285714285714
2011,CL White,109,104,95.41284403669725,63.608562691131496
2011,DA Warner,281,324,115.30249110320285,76.86832740213524
2011,DB Ravi Teja,147,183,124.48979591836735,82.99319727891157
2011,DH Yagnik,23,16,69.56521739130434,46.37681159420289
2011,DJ Hussey,65,64,98.46153846153847,65.64102564102564
2011,DJ Jacobs,91,92,101.0989010989011,67.39926739926739
2011,DL Vettori,30,23,76.66666666666667,51.11111111111112
2011,DPMD Jayawardene,272,299,109.9264705882353,73.28431372549021
2011,DT Christian,161,190,118.01242236024845,78.67494824016563
2011,DW Steyn,37,36,97.2972972972973,64.86486486486487
2011,EJG Morgan,123,137,111.3821138211382,74.25474254742547
2011,G Gambhir,332,378,113.85542168674698,75.90361445783131
2011,GC Smith,54,42,77.77777777777779,51.85185185185186
2011,Harbhajan Singh,74,103,139.1891891891892,92.7927927927928
2011,Harpreet Singh,20,14,70.0,46.666666666666664
2011,IK Pathan,146,150,102.73972602739727,68.49315068493152
2011,IR Jaggi,38,28,73.68421052631578,49.12280701754385
2011,J Botha,200,230,114.99999999999999,76.66666666666666
2011,JA Morkel,108,138,127.77777777777777,85.18518518518519
2011,JD Ryder,201,292,145.273631840796,96.84908789386401
2011,JEC Franklin,80,107,133.75,89.16666666666667
2011,JH Kallis,386,424,109.84455958549222,73.22970639032815
2011,JP Duminy,176,205,116.47727272727273,77.65151515151516
2011,JR Hopes,162,196,120.98765432098766,80.65843621399176
2011,KA Pollard,141,146,103.54609929078013,69.03073286052009
2011,KC Sangakkara,298,358,120.13422818791946,80.08948545861297
2011,KD Karthik,225,282,125.33333333333334,83.55555555555556
2011,KM Jadhav,23,18,78.26086956521739,52.17391304347826
2011,LA Pomersbach,41,51,124.39024390243902,82.92682926829268
2011,LRPL Taylor,158,181,114.55696202531647,76.37130801687765
2011,M Kaif,35,41,117.14285714285715,78.0952380952381
2011,M Klinger,78,73,93.58974358974359,62.39316239316239
2011,M Manhas,128,114,89.0625,59.375
2011,M Morkel,25,40,160.0,100.0
2011,M Vijay,349,434,124.35530085959886,82.90353390639925
2011,MA Agarwal,129,141,109.30232558139534,72.86821705426357
2011,MD Mishra,60,67,111.66666666666667,74.44444444444444
2011,MEK Hussey,423,492,116.31205673758865,77.54137115839244
2011,MK Pandey,233,246,105.5793991416309,70.3862660944206
2011,MK Tiwary,336,359,106.84523809523809,71.23015873015872
2011,MR Marsh,50,50,100.0,66.66666666666666
2011,MS Bisla,90,72,80.0,53.333333333333336
2011,MS Dhoni,247,392,158.70445344129556,100.0
