season,bowler,bowl_balls,bowl_runs,bowl_wkts,economy,wkts_per_6,econ_score,wkt_score,bowl_score
2012,RP Singh,260,328,11,7.569230769230769,0.25384615384615383,0.4051282051282052,0.12692307692307692,26.60256410256411
2012,RR Bhatkal,12,35,0,17.5,0.0,0.0,0.0,0.0
2012,RR Powar,18,32,0,10.666666666666666,0.0,0.0,0.0,0.0
2012,S Aravind,18,48,0,16.0,0.0,0.0,0.0,0.0
2012,S Dhawan,37,60,3,9.72972972972973,0.4864864864864865,0.04504504504504503,0.24324324324324326,14.414414414414415
2012,S Nadeem,275,320,8,6.9818181818181815,0.17454545454545456,0.503030303030303,0.08727272727272728,29.515151515151516
2012,SB Jakati,248,337,10,8.153225806451612,0.24193548387096775,0.3077956989247313,0.12096774193548387,21.43817204301076
2012,SC Ganguly,61,97,3,9.540983606557377,0.29508196721311475,0.07650273224043709,0.14754098360655737,11.202185792349722
2012,SK Raina,85,106,2,7.482352941176471,0.1411764705882353,0.4196078431372549,0.07058823529411765,24.50980392156863
2012,SK Trivedi,324,387,14,7.166666666666666,0.25925925925925924,0.4722222222222223,0.12962962962962962,30.0925925925926
2012,SL Malinga,351,355,25,6.068376068376068,0.4273504273504274,0.6552706552706553,0.2136752136752137,43.44729344729345
2012,SP Narine,357,332,29,5.579831932773109,0.4873949579831933,0.7366946778711485,0.24369747899159666,49.01960784313726
2012,SR Watson,144,165,6,6.875,0.25,0.5208333333333334,0.125,32.29166666666667
2012,STR Binny,60,78,3,7.800000000000001,0.30000000000000004,0.36666666666666653,0.15000000000000002,25.83333333333333
2012,SW Tait,157,154,7,5.885350318471337,0.267515923566879,0.6857749469214438,0.1337579617834395,40.976645435244166
2012,Shakib Al Hasan,185,203,12,6.583783783783783,0.3891891891891892,0.5693693693693694,0.1945945945945946,38.1981981981982
2012,Sunny Gupta,19,47,0,14.842105263157896,0.0,0.0,0.0,0.0
2012,TM Dilshan,44,78,0,10.636363636363637,0.0,0.0,0.0,0.0
2012,TP Sudhindra,74,137,1,11.108108108108109,0.08108108108108109,0.0,0.04054054054054054,2.027027027027027
2012,UT Yadav,383,459,22,7.190600522193212,0.34464751958224543,0.46823324630113133,0.17232375979112272,32.027850304612706
2012,V Kohli,18,49,0,16.333333333333336,0.0,0.0,0.0,0.0
2012,V Pratap Singh,211,300,12,8.530805687203792,0.34123222748815163,0.24486571879936805,0.17061611374407581,20.774091627172194
2012,V Sehwag,24,45,0,11.25,0.0,0.0,0.0,0.0
2012,VR Aaron,192,279,9,8.71875,0.28125,0.21354166666666666,0.140625,17.708333333333332
2012,VY Mahesh,61,83,3,8.163934426229508,0.29508196721311475,0.3060109289617487,0.14754098360655737,22.677595628415304
2012,WD Parnell,130,133,7,6.138461538461538,0.3230769230769231,0.6435897435897436,0.16153846153846155,40.256410256410255
2012,Y Venugopal Rao,12,26,0,13.0,0.0,0.0,0.0,0.0
2012,YK Pathan,137,184,4,8.05839416058394,0.17518248175182483,0.3236009732360099,0.08759124087591241,20.559610705596114
2012,Z Khan,370,468,21,7.589189189189189,0.34054054054054056,0.40180180180180186,0.17027027027027028,28.603603603603606
2013,A Ashish Reddy,41,71,3,10.390243902439025,0.4390243902439024,0.0,0.2195121951219512,10.97560975609756
2013,A Chandila,150,158,6,6.319999999999999,0.24,0.6133333333333334,0.12,36.66666666666667
2013,A Mishra,376,395,24,6.303191489361701,0.3829787234042553,0.6161347517730498,0.19148936170212766,40.38120567375887
2013,A Mithun,25,37,1,8.879999999999999,0.24,0.18666666666666684,0.12,15.333333333333343
2013,A Nehra,221,319,13,8.660633484162895,0.3529411764705882,0.22322775263951744,0.1764705882352941,19.984917043740577
2013,AA Chavan,56,63,1,6.75,0.10714285714285714,0.5416666666666666,0.05357142857142857,29.761904761904763
2013,AB Agarkar,63,93,0,8.857142857142858,0.0,0.19047619047619038,0.0,9.523809523809518
2013,AB Dinda,304,466,18,9.197368421052632,0.35526315789473684,0.13377192982456135,0.17763157894736842,15.57017543859649
2013,AB McDonald,12,17,1,8.5,0.5,0.25,0.25,25.0
2013,AD Mascarenhas,24,25,0,6.25,0.0,0.625,0.0,31.25
2013,AD Mathews,188,245,6,7.819148936170212,0.19148936170212766,0.3634751773049647,0.09574468085106383,22.960992907801426
2013,AD Russell,44,68,0,9.272727272727273,0.0,0.1212121212121211,0.0,6.060606060606055
2013,AG Murtaza,62,96,3,9.29032258064516,0.29032258064516125,0.1182795698924733,0.14516129032258063,13.172043010752695
2013,AJ Finch,24,49,1,12.25,0.25,0.0,0.125,6.25
2013,AM Nayar,50,59,2,7.08,0.24,0.48666666666666664,0.12,30.333333333333336
2013,AN Ahmed,42,45,3,6.428571428571429,0.42857142857142855,0.5952380952380952,0.21428571428571427,40.476190476190474
2013,AS Rajpoot,25,37,1,8.879999999999999,0.24,0.18666666666666684,0.12,15.333333333333343
2013,Anand Rajan,51,43,2,5.0588235294117645,0.23529411764705882,0.823529411764706,0.11764705882352941,47.05882352941177
2013,Ankit Sharma,12,17,0,8.5,0.0,0.25,0.0,12.5
2013,Azhar Mahmood,267,335,16,7.52808988764045,0.3595505617977528,0.4119850187265917,0.1797752808988764,29.588014981273403
2013,B Kumar,359,381,13,6.367688022284122,0.21727019498607242,0.6053853296193129,0.10863509749303621,35.701021355617456
2013,B Laughlin,45,72,1,9.600000000000001,0.13333333333333333,0.06666666666666643,0.06666666666666667,6.666666666666654
2013,B Lee,75,89,4,7.120000000000001,0.32,0.4799999999999998,0.16,31.99999999999999
2013,BA Bhatt,31,32,1,6.193548387096774,0.1935483870967742,0.6344086021505376,0.0967741935483871,36.55913978494624
2013,BAW Mendis,72,78,2,6.5,0.16666666666666666,0.5833333333333334,0.08333333333333333,33.333333333333336
2013,BMAJ Mendis,30,36,1,7.199999999999999,0.2,0.4666666666666668,0.1,28.33333333333334
2013,Bipul Sharma,24,21,1,5.25,0.25,0.7916666666666666,0.125,45.83333333333333
2013,CH Gayle,25,41,3,9.84,0.72,0.02666666666666669,0.36,19.333333333333332
2013,CH Morris,309,410,17,7.961165048543689,0.33009708737864074,0.33980582524271846,0.16504854368932037,25.24271844660194
2013,CL White,12,16,1,8.0,0.5,0.3333333333333333,0.25,29.166666666666664
2013,DJ Bravo,392,505,34,7.729591836734693,0.5204081632653061,0.3784013605442178,0.2602040816326531,31.930272108843543
2013,DJ Hussey,68,93,0,8.205882352941178,0.0,0.2990196078431371,0.0,14.950980392156854
2013,DJG Sammy,138,169,11,7.347826086956522,0.47826086956521735,0.4420289855072463,0.23913043478260868,34.05797101449275
2013,DP Nannes,126,165,5,7.857142857142858,0.23809523809523808,0.35714285714285704,0.11904761904761904,23.809523809523803
2013,DR Smith,32,59,2,11.0625,0.375,0.0,0.1875,9.375
2013,DS Kulkarni,119,153,8,7.714285714285715,0.40336134453781514,0.38095238095238076,0.20168067226890757,29.131652661064418
2013,DT Christian,38,56,0,8.842105263157894,0.0,0.19298245614035103,0.0,9.649122807017552
2013,DW Steyn,419,395,20,5.656324582338902,0.2863961813842482,0.7239459029435164,0.1431980906921241,43.35719968178202
2013,GB Hogg,21,31,0,8.857142857142858,0.0,0.19047619047619038,0.0,9.523809523809518
2013,GH Vihari,37,39,1,6.324324324324324,0.16216216216216217,0.6126126126126127,0.08108108108108109,34.68468468468468
2013,GJ Maxwell,12,24,0,12.0,0.0,0.0,0.0,0.0
2013,Harbhajan Singh,430,466,25,6.502325581395349,0.3488372093023256,0.5829457364341085,0.1744186046511628,37.86821705426357
2013,Harmeet Singh,96,123,7,7.6875,0.4375,0.3854166666666667,0.21875,30.208333333333336
2013,I Sharma,374,471,16,7.55614973262032,0.2566844919786096,0.4073083778966133,0.1283422459893048,26.782531194295906
2013,IC Pandey,25,50,1,12.0,0.24,0.0,0.12,6.0
