file_id,innings,batting_team,phase,wicket_bucket,role,prior_matches,prior_wins,prior_win_rate
336015,2,Rajasthan Royals,middle,2,bat_second,2,2,
336015,2,Rajasthan Royals,death,3,bat_second,1,1,
336016,1,Royal Challengers Bangalore,pp,3,bat_first,1,0,
336016,1,Royal Challengers Bangalore,middle,2,bat_first,0,0,
336016,1,Royal Challengers Bangalore,death,3,bat_first,2,1,
336016,2,Kings XI Punjab,pp,0,bat_second,0,0,
336016,2,Kings XI Punjab,middle,1,bat_second,0,0,
336016,2,Kings XI Punjab,death,0,bat_second,2,2,
336017,1,Kolkata Knight Riders,pp,1,bat_first,2,2,
336017,1,Kolkata Knight Riders,middle,2,bat_first,0,0,
336017,1,Kolkata Knight Riders,death,3,bat_first,1,0,
336017,2,Delhi Daredevils,pp,3,bat_second,0,0,
336017,2,Delhi Daredevils,middle,2,bat_second,1,1,
336017,2,Delhi Daredevils,death,3,bat_second,1,0,
336018,1,Chennai Super Kings,pp,2,bat_first,2,2,
336018,1,Chennai Super Kings,middle,2,bat_first,2,1,
336018,1,Chennai Super Kings,death,2,bat_first,2,2,
336018,2,Mumbai Indians,pp,0,bat_second,1,1,
336018,2,Mumbai Indians,middle,1,bat_second,0,0,
336018,2,Mumbai Indians,death,0,bat_second,2,2,
336020,2,Deccan Chargers,pp,1,bat_second,1,1,
336020,2,Deccan Chargers,middle,3,bat_second,1,0,
336020,2,Deccan Chargers,death,3,bat_second,1,0,
336020,1,Delhi Daredevils,pp,1,bat_first,2,1,
336020,1,Delhi Daredevils,middle,0,bat_first,1,0,
336020,1,Delhi Daredevils,death,3,bat_first,3,1,0.3333333333333333
336021,2,Mumbai Indians,pp,2,bat_second,2,0,
336021,2,Mumbai Indians,middle,0,bat_second,1,1,
336021,2,Mumbai Indians,death,0,bat_second,3,3,1.0
336021,1,Kolkata Knight Riders,pp,3,bat_first,2,0,
336021,1,Kolkata Knight Riders,middle,3,bat_first,3,1,0.3333333333333333
336021,1,Kolkata Knight Riders,death,1,bat_first,2,2,
336022,1,Delhi Daredevils,pp,0,bat_first,0,0,
336022,1,Delhi Daredevils,middle,3,bat_first,1,0,
336022,1,Delhi Daredevils,death,0,bat_first,0,0,
336022,2,Kings XI Punjab,pp,3,bat_second,0,0,
336022,2,Kings XI Punjab,middle,0,bat_second,0,0,
336022,2,Kings XI Punjab,death,0,bat_second,3,3,1.0
336023,1,Rajasthan Royals,pp,0,bat_first,0,0,
336023,1,Rajasthan Royals,middle,1,bat_first,0,0,
336023,1,Rajasthan Royals,death,0,bat_first,0,0,
336023,2,Royal Challengers Bangalore,pp,3,bat_second,2,0,
336023,2,Royal Challengers Bangalore,middle,3,bat_second,2,1,
336023,2,Royal Challengers Bangalore,death,2,bat_second,1,0,
336024,1,Mumbai Indians,pp,1,bat_first,0,0,
336024,1,Mumbai Indians,middle,3,bat_first,1,1,
336024,1,Mumbai Indians,death,3,bat_first,2,1,
336024,2,Deccan Chargers,pp,3,bat_second,1,0,
336024,2,Deccan Chargers,middle,1,bat_second,1,1,
336024,2,Deccan Chargers,death,3,bat_second,2,0,
336025,1,Kolkata Knight Riders,pp,2,bat_first,1,1,
336025,1,Kolkata Knight Riders,middle,0,bat_first,0,0,
336025,1,Kolkata Knight Riders,death,3,bat_first,2,1,
336025,2,Chennai Super Kings,pp,0,bat_second,2,2,
336025,2,Chennai Super Kings,middle,0,bat_second,0,0,
336025,2,Chennai Super Kings,death,0,bat_second,1,1,
336026,1,Royal Challengers Bangalore,pp,1,bat_first,1,1,
336026,1,Royal Challengers Bangalore,middle,2,bat_first,1,0,
336026,1,Royal Challengers Bangalore,death,3,bat_first,3,1,0.3333333333333333
336026,2,Delhi Daredevils,pp,0,bat_second,1,1,
336026,2,Delhi Daredevils,middle,3,bat_second,1,0,
336026,2,Delhi Daredevils,death,1,bat_second,0,0,
336027,1,Kolkata Knight Riders,pp,1,bat_first,3,3,1.0
336027,1,Kolkata Knight Riders,middle,3,bat_first,4,1,0.25
336027,1,Kolkata Knight Riders,death,3,bat_first,3,1,0.3333333333333333
336027,2,Rajasthan Royals,pp,3,bat_second,1,1,
336027,2,Rajasthan Royals,middle,1,bat_second,2,2,
336027,2,Rajasthan Royals,death,0,bat_second,2,2,
336029,2,Chennai Super Kings,pp,0,bat_second,3,3,1.0
336029,2,Chennai Super Kings,middle,3,bat_second,1,1,
336029,2,Chennai Super Kings,death,3,bat_second,0,0,
336029,1,Royal Challengers Bangalore,pp,2,bat_first,1,0,
336029,1,Royal Challengers Bangalore,middle,3,bat_first,2,1,
336029,1,Royal Challengers Bangalore,death,3,bat_first,4,1,0.25
336028,2,Mumbai Indians,pp,1,bat_second,0,0,
336028,2,Mumbai Indians,middle,2,bat_second,0,0,
336028,2,Mumbai Indians,death,3,bat_second,0,0,
336028,1,Kings XI Punjab,pp,1,bat_first,3,2,0.6666666666666666
336028,1,Kings XI Punjab,middle,1,bat_first,0,0,
336028,1,Kings XI Punjab,death,2,bat_first,0,0,
336031,1,Deccan Chargers,pp,0,bat_first,1,0,
336031,1,Deccan Chargers,middle,2,bat_first,0,0,
336031,1,Deccan Chargers,death,2,bat_first,2,0,
336031,2,Kings XI Punjab,pp,0,bat_second,1,1,
336031,2,Kings XI Punjab,middle,2,bat_second,3,2,0.6666666666666666
336031,2,Kings XI Punjab,death,2,bat_second,1,1,
336032,1,Mumbai Indians,pp,0,bat_first,0,0,
336032,1,Mumbai Indians,middle,3,bat_first,2,2,
336032,1,Mumbai Indians,death,3,bat_first,3,2,0.6666666666666666
336032,2,Delhi Daredevils,pp,2,bat_second,1,0,
336032,2,Delhi Daredevils,middle,3,bat_second,2,1,
336032,2,Delhi Daredevils,death,0,bat_second,3,3,1.0
336033,1,Rajasthan Royals,pp,0,bat_first,1,1,
336033,1,Rajasthan Royals,middle,2,bat_first,0,0,
336033,1,Rajasthan Royals,death,3,bat_first,2,1,
336033,2,Chennai Super Kings,pp,1,bat_second,0,0,
336033,2,Chennai Super Kings,middle,2,bat_second,0,0,
336033,2,Chennai Super Kings,death,3,bat_second,1,0,
336002,2,Royal Challengers Bangalore,pp,1,bat_second,2,1,
336002,2,Royal Challengers Bangalore,middle,2,bat_second,2,0,
336002,2,Royal Challengers Bangalore,death,2,bat_second,2,0,
336002,1,Deccan Chargers,pp,0,bat_first,2,0,
336002,1,Deccan Chargers,middle,3,bat_first,4,0,0.0
336002,1,Deccan Chargers,death,3,bat_first,3,0,0.0
