full_name,data_name,team_2026,role,home_venue,career_bat_innings,career_runs,career_balls_faced,career_bat_avg,career_bat_sr,career_fours,career_sixes,career_bowl_innings,career_balls_bowled,career_wickets,career_runs_conceded,career_econ,career_bowl_sr,form5_bat_innings,form5_runs,form5_bat_avg,form5_bat_sr,form5_boundary_pct,form5_bowl_innings,form5_wickets,form5_econ,form5_bowl_sr,form5_bowl_dot_pct,recent_bat_innings,recent_runs,recent_bat_avg,recent_bat_sr,recent_bowl_innings,recent_wickets,recent_econ,recent_bowl_sr,bat_score,bowl_score,overall_score
TG Southee,TG Southee,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",19,120,107,6.32,112.15,8,4,54,1206,57,1774,8.83,21.2,5,2,0.4,16.67,0.0,5,5,10.06,20.4,36.3,,,,,2,2,13.17,18.0,25.7,29.8,27.8
TK Curran,TK Curran,Delhi Capitals,all-rounder,"Arun Jaitley Stadium, Delhi",10,127,107,12.7,118.69,10,3,13,238,13,432,10.89,18.3,5,94,18.8,134.29,12.9,5,4,10.17,26.2,24.8,,,,,,,,,61.9,22.5,42.2
TL Suman,TL Suman,Pune Warriors,all-rounder,,39,676,575,17.33,117.57,55,26,11,150,7,198,7.92,21.4,5,52,10.4,89.66,13.8,5,1,8.22,54.0,20.4,,,,,,,,,51.9,34.6,43.2
TM Dilshan,TM Dilshan,Royal Challengers Bangalore,all-rounder,,50,1153,1007,23.06,114.5,140,24,25,271,5,368,8.15,54.2,5,76,15.2,81.72,12.9,5,0,10.5,,19.4,,,,,,,,,56.6,14.1,35.4
TM Srivastava,TM Srivastava,Kings XI Punjab,batter,,3,8,11,2.67,72.73,0,0,,,,,,,3,8,2.67,72.73,0.0,,,,,,,,,,,,,,5.0,0.0,4.0
TP Sudhindra,TP Sudhindra,Deccan Chargers,bowler,,,,,,,,,3,70,1,137,11.74,70.0,,,,,,3,1,11.74,70.0,25.7,,,,,,,,,5.0,8.3,7.6
TR Birt,TR Birt,Delhi Daredevils,batter,,5,75,58,15.0,129.31,9,2,,,,,,,5,75,15.0,129.31,19.0,,,,,,,,,,,,,,61.9,0.0,49.5
TS Mills,TS Mills,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",5,8,14,1.6,57.14,0,1,10,209,11,349,10.02,19.0,5,8,1.6,57.14,7.1,5,6,11.29,17.0,27.5,,,,,,,,,21.0,28.7,24.9
Tanush Kotian,Tanush Kotian,Rajasthan Royals,batter,"Sawai Mansingh Stadium, Jaipur",1,24,31,24.0,77.42,3,0,,,,,,,1,24,24.0,77.42,9.7,,,,,,1,24,24.0,77.42,,,,,5.0,0.0,4.0
Tejas Baroka,Tejas Baroka,Gujarat Lions,bowler,,,,,,,,,1,21,0,33,9.43,,,,,,,1,0,9.43,,28.6,,,,,,,,,5.0,0.0,1.0
U Kaul,U Kaul,Kings XI Punjab,batter,,1,0,1,0.0,0.0,0,0,,,,,,,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,5.0,0.0,4.0
UA Birla,UA Birla,Pune Warriors,batter,,1,7,14,7.0,50.0,1,0,,,,,,,1,7,7.0,50.0,7.1,,,,,,,,,,,,,,5.0,0.0,4.0
UBT Chand,UBT Chand,Mumbai Indians,batter,"Wankhede Stadium, Mumbai",20,300,300,15.0,100.0,32,9,,,,,,,5,90,18.0,128.57,20.0,,,,,,,,,,,,,,58.7,0.0,47.0
UT Khawaja,UT Khawaja,Rising Pune Supergiants,batter,,6,127,100,21.17,127.0,14,3,,,,,,,5,97,19.4,132.88,19.2,,,,,,,,,,,,,,68.7,0.0,55.0
UT Yadav,UT Yadav,Gujarat Titans,all-rounder,"Narendra Modi Stadium, Ahmedabad",48,208,201,4.33,103.48,16,9,147,3050,163,4427,8.71,18.7,5,20,4.0,80.0,4.0,5,7,9.56,13.7,42.7,7,31,4.43,93.94,15,10,10.02,24.0,36.2,32.0,34.1
Umar Gul,Umar Gul,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",4,39,19,9.75,205.26,1,5,6,135,14,198,8.8,9.6,4,39,9.75,205.26,31.6,5,10,8.76,11.1,40.5,,,,,,,,,5.0,65.2,35.1
V Kaverappa,V Kaverappa,Punjab Kings,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,1,24,2,36,9.0,12.0,,,,,,1,2,9.0,12.0,45.8,,,,,1,2,9.0,12.0,5.0,0.0,1.0
V Nigam,V Nigam,Delhi Capitals,all-rounder,"Arun Jaitley Stadium, Delhi",8,142,79,17.75,179.75,16,8,13,234,12,361,9.26,19.5,5,88,17.6,162.96,27.8,5,4,9.06,25.5,23.5,8,142,17.75,179.75,13,12,9.26,19.5,80.4,32.2,56.3
V Pratap Singh,V Pratap Singh,Deccan Chargers,bowler,,1,0,1,0.0,0.0,0,0,9,204,12,300,8.82,17.0,1,0,0.0,0.0,0.0,5,8,9.61,13.5,30.6,,,,,,,,,5.0,46.5,38.2
V Puthur,V Puthur,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",,,,,,,,5,72,6,109,9.08,12.0,,,,,,5,6,9.08,12.0,33.3,,,,,5,6,9.08,12.0,5.0,41.5,34.2
V Sehwag,V Sehwag,Kings XI Punjab,all-rounder,,104,2728,1755,26.23,155.44,334,106,15,136,6,236,10.41,22.7,5,16,3.2,69.57,8.7,5,2,8.0,27.0,37.0,,,,,,,,,55.9,22.5,39.2
V Shankar,V Shankar,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",63,1233,950,19.57,129.79,88,48,22,238,12,344,8.67,19.8,5,118,23.6,129.67,12.1,5,3,9.65,17.0,35.3,22,502,22.82,143.02,,,,,72.6,24.8,48.7
V Suryavanshi,V Suryavanshi,Rajasthan Royals,batter,"Sawai Mansingh Stadium, Jaipur",7,252,122,36.0,206.56,18,24,,,,,,,5,202,40.4,224.44,38.9,,,,,,7,252,36.0,206.56,,,,,117.3,0.0,93.8
V Viyaskanth,V Viyaskanth,Sunrisers Hyderabad,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,7,5,7.0,140.0,0,0,3,60,1,90,9.0,60.0,1,7,7.0,140.0,0.0,3,1,9.0,60.0,26.7,1,7,7.0,140.0,3,1,9.0,60.0,5.0,20.8,17.6
VH Zol,VH Zol,Royal Challengers Bangalore,batter,,2,29,26,14.5,111.54,3,1,,,,,,,2,29,14.5,111.54,15.4,,,,,,,,,,,,,,5.0,0.0,4.0
VR Aaron,VR Aaron,Gujarat Titans,all-rounder,"Narendra Modi Stadium, Ahmedabad",12,50,72,4.17,69.44,2,2,50,994,46,1527,9.22,21.6,5,8,1.6,29.63,0.0,5,2,11.46,39.0,32.1,,,,,,,,,20.1,21.4,20.8
VRV Singh,VRV Singh,Kings XI Punjab,bowler,,2,4,3,2.0,133.33,1,0,18,360,16,549,9.15,22.5,2,4,2.0,133.33,33.3,5,1,10.33,72.0,27.8,,,,,,,,,5.0,18.9,16.1
VS Malik,VS Malik,Rajasthan Royals,bowler,"Sawai Mansingh Stadium, Jaipur",2,7,7,3.5,100.0,1,0,13,205,6,268,7.84,34.2,2,7,3.5,100.0,14.3,5,3,6.8,30.0,44.4,,,,,,,,,5.0,46.8,38.4
VS Yeligati,VS Yeligati,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",1,2,2,2.0,100.0,0,0,2,30,0,61,12.2,,1,2,2.0,100.0,0.0,2,0,12.2,,20.0,,,,,,,,,5.0,0.0,1.0
VVS Laxman,VVS Laxman,Kochi Tuskers Kerala,batter,,20,282,267,14.1,105.62,33,5,,,,,,,5,54,10.8,93.1,10.3,,,,,,,,,,,,,,48.7,0.0,39.0
VY Mahesh,VY Mahesh,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",5,15,27,3.0,55.56,0,0,17,339,22,511,9.04,15.4,5,15,3.0,55.56,0.0,5,4,8.59,18.5,31.1,,,,,,,,,22.3,41.0,31.6
Vijaykumar Vyshak,Vijaykumar Vyshak,Punjab Kings,all-rounder,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,14,12,3.5,116.67,0,1,16,333,21,577,10.4,15.9,4,14,3.5,116.67,8.3,5,4,10.65,25.5,30.4,4,14,3.5,116.67,16,21,10.4,15.9,5.0,29.0,17.0
